size    b-v
6,1     1,20
6,0     1,21
5,8     1,22
5,6     1,23
5,5     1,24
5,4     1,25
5,2     1,26
5,1     1,27
5,0     1,28
4,9     1,29
4,7     1,30
4,6     1,31
4,4     1,32
4,3     1,33
4,3     1,34
4,1     1,35
4,0     1,36
3,9     1,37
3,8     1,38
3,6     1,40
3,5     1,42
3,3     1,44
3,1     1,46
3,0     1,49
2,8     1,52
2,6     1,54
2,4     1,57
2,3     1,60
2,1     1,64
1,9     1,67
1,7     1,70
